,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.3,0.4,0.3,0.2,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.2,0.1,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.1,0.5,3.9,9.8,7.1,1.5,0.1,0.0,0.0
6,0.1,0.0,0.1,0.1,0.4,1.8,11.1,38.2,32.2,11.1,2.6,0.3,0.0
7,0.2,0.1,0.0,0.4,1.1,3.0,12.4,51.4,70.5,30.1,10.2,1.8,0.8
8,0.1,0.0,0.0,0.0,0.1,0.7,6.3,28.5,46.0,26.7,6.2,1.1,0.3
9,0.3,0.0,0.1,0.3,0.5,0.5,3.0,11.1,30.2,31.8,11.3,4.5,1.4
10,0.1,0.0,0.0,0.0,0.1,0.2,0.4,3.5,13.9,21.7,10.5,3.2,0.4
11,0.0,0.0,0.0,0.0,0.0,0.2,0.4,2.6,5.4,11.1,10.0,4.5,1.8
12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,2.9,8.2,6.0,1.1,2.4
