,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.5,4.2,3.6,0.4,1.3,0.0,0.0,0.0,0.0
5,0.1,0.0,0.0,0.2,3.0,15.4,31.9,14.0,7.3,0.5,0.2,0.2,0.2
6,0.3,0.0,0.1,0.3,1.4,12.2,56.5,42.3,10.7,3.6,0.3,0.4,0.9
7,0.2,0.0,0.1,0.3,0.6,5.6,40.6,81.2,37.9,15.2,3.8,0.3,1.2
8,0.0,0.0,0.1,0.0,0.0,2.3,9.3,33.4,34.6,14.7,2.7,1.5,0.4
9,0.0,0.0,0.0,0.0,0.0,0.1,1.4,14.7,28.0,20.0,4.9,2.3,0.6
10,0.0,0.0,0.0,0.0,0.0,0.0,1.9,7.2,11.7,10.0,4.2,2.9,2.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,5.0,2.1,0.1,0.4
12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.4,2.9,0.5,0.0,2.0
