,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.5,2.4,2.2,0.7,0.1,0.1,0.0,0.0,0.0,0.0
4,0.1,0.1,0.7,2.9,10.4,20.7,14.4,3.2,0.7,0.1,0.5,0.2,0.0
5,0.2,0.1,0.5,6.5,25.1,52.1,57.7,21.7,2.5,0.5,0.0,0.1,0.0
6,0.2,0.1,0.5,1.5,9.8,38.9,65.6,38.2,12.1,2.0,0.1,0.0,0.0
7,0.0,0.0,0.1,0.6,2.6,12.3,35.6,39.5,18.4,2.5,0.3,0.1,0.0
8,0.0,0.0,0.2,0.9,0.7,2.8,8.6,19.7,16.2,5.5,1.0,0.3,0.1
9,0.0,0.0,0.0,0.0,0.0,1.0,3.8,9.7,14.5,6.7,1.8,0.4,0.1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.7,5.7,1.6,0.4,0.3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,2.5,0.9,0.1,0.0,0.0
12,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.4,0.4,0.2,0.0
