,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.1,2.6,2.3,0.8,0.1,0.1,0.0,0.0,0.0,0.0
4,0.4,0.1,0.4,2.5,10.1,22.3,13.0,3.6,0.7,0.2,0.4,0.1,0.2
5,0.4,0.5,0.6,5.2,24.2,50.8,58.0,23.0,3.3,0.9,0.0,0.0,0.1
6,0.0,0.1,0.2,1.7,9.2,36.5,66.1,38.1,13.7,2.8,0.5,0.1,0.0
7,0.0,0.1,0.2,0.3,1.9,10.2,36.3,40.7,17.4,3.7,1.1,0.0,0.1
8,0.0,0.0,0.1,1.0,1.0,1.8,8.1,20.2,16.7,5.3,1.5,0.2,0.1
9,0.0,0.0,0.0,0.0,0.0,0.2,4.4,8.4,14.6,7.6,2.0,0.5,0.3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7.8,4.8,2.6,0.3,0.2
11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.3,2.2,1.2,0.1,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.2,0.7,0.0,0.1
