,0
0,491
1,1990
2,195
3,1577
4,521
5,1139
6,1436
7,2104
8,2430
9,1692
10,413
11,1994
12,1434
13,1368
14,448
15,887
16,1432
17,1694
18,2285
19,751
20,2384
21,1655
22,2348
23,917
24,1625
25,1320
26,504
27,1477
28,1044
29,2165
30,1734
31,1891
32,2012
33,296
34,1327
35,1916
36,2146
37,584
38,133
39,1217
40,1592
41,1832
42,1313
43,894
44,2423
45,216
46,2157
47,1125
48,2434
49,47
50,1099
51,99
52,1068
53,1628
54,88
55,190
56,125
57,1124
58,714
59,2314
60,2024
61,114
62,414
63,1800
64,357
65,565
66,2502
67,2493
68,2382
69,441
70,1795
71,2076
72,1448
73,240
74,2470
75,1543
76,2330
77,688
78,1166
79,223
80,1998
81,1890
82,1802
83,2499
84,1051
85,1907
86,785
87,66
88,912
89,696
90,927
91,1117
92,1732
93,1846
94,1354
95,1190
96,1337
97,864
98,2195
99,2014
100,1092
101,1934
102,1178
103,606
104,774
105,364
106,58
107,580
108,931
109,828
110,2364
111,1669
112,2184
113,315
114,1444
115,885
116,576
117,1793
118,1945
119,337
120,898
121,1736
122,383
123,2000
124,891
125,1704
126,1186
127,467
128,1024
129,206
130,2215
131,1413
132,1668
133,1458
134,964
135,1149
136,1424
137,1638
138,722
139,1013
140,1523
141,625
142,410
143,1041
144,1034
145,1927
146,62
147,1334
148,142
149,174
150,880
151,2152
152,1823
153,1843
154,192
155,23
156,478
157,1048
158,1250
159,2048
160,1042
161,1335
162,2490
163,1150
164,2402
165,557
166,2332
167,2407
168,1121
169,248
170,1613
171,821
172,1231
173,2005
174,473
175,1909
176,2081
177,301
178,1700
179,1234
180,2161
181,293
182,199
183,1847
184,737
185,1030
186,2094
187,1980
188,1996
189,765
190,1861
191,1309
192,1430
193,1317
194,1784
195,1724
196,1096
197,1083
198,653
199,188
200,2292
201,947
202,1203
203,2412
204,455
205,261
206,1355
207,1471
208,1269
209,238
210,2211
211,771
212,2114
213,2235
214,710
215,160
216,1900
217,701
218,1575
219,2237
220,1897
221,1727
222,978
223,497
224,1328
225,700
226,1307
227,2465
228,1067
229,506
230,2398
231,397
232,1816
233,1103
234,432
235,1767
236,53
237,794
238,1938
239,299
240,1883
241,961
242,490
243,1326
244,2019
245,679
246,1164
247,1148
248,1838
249,189
250,638
251,2481
252,28
253,267
254,2448
255,666
256,966
257,124
258,1580
259,2349
260,1742
261,999
262,1754
263,2154
264,1554
265,102
266,1187
267,1640
268,2352
269,770
270,1954
271,2001
272,2406
273,302
274,1089
275,137
276,2050
277,741
278,598
279,1917
280,1109
281,350
282,169
283,112
284,2261
285,2503
286,404
287,1110
288,2500
289,661
290,2145
291,2358
292,1446
293,250
294,1530
295,1670
296,1783
297,1165
298,1055
299,1583
300,412
301,52
302,2295
303,2210
304,2265
305,1896
306,1449
307,2108
308,1299
309,2098
310,2446
311,1416
312,335
313,1606
314,676
315,1284
316,2263
317,2329
318,493
319,2312
320,1419
321,1901
322,579
323,842
324,1
325,214
326,1045
327,2112
328,1880
329,1879
330,1090
331,1852
332,817
333,2282
334,2508
335,2109
336,324
337,1763
338,859
339,1331
340,1215
341,1225
342,879
343,46
344,1140
345,1277
346,665
347,1607
348,1886
349,1937
350,1872
351,1728
352,332
353,1455
354,573
355,1930
356,1950
357,690
358,822
359,819
360,2512
361,2462
362,2321
363,2279
364,1143
365,2440
366,1609
367,2301
368,615
369,857
370,2428
371,395
372,1012
373,1338
374,1738
375,294
376,1341
377,2160
378,1574
379,306
380,1965
381,135
382,698
383,680
384,941
385,825
386,1908
387,262
388,689
389,1571
390,2037
391,1961
392,2425
393,742
394,406
