,Wind
0,15.0
1,18.0
2,18.0
3,12.0
4,13.0
5,15.0
6,24.0
7,11.0
8,23.0
9,16.0
10,11.0
11,12.0
12,26.0
13,20.0
14,13.0
15,12.0
16,18.0
17,25.0
18,18.0
19,14.0
20,23.0
21,21.0
22,11.0
23,26.0
24,12.0
25,14.0
26,15.0
27,17.0
28,15.0
29,26.0
30,19.0
31,18.0
32,15.0
33,17.0
34,17.0
35,28.0
36,27.0
37,29.0
38,20.0
39,19.0
40,12.0
41,16.0
42,30.0
43,16.0
44,30.0
45,8.0
46,20.0
47,19.0
48,10.0
49,14.0
50,29.0
51,24.0
52,19.0
53,25.0
54,13.0
55,12.0
56,20.0
57,21.0
58,21.0
59,27.0
60,19.0
61,26.0
62,15.0
63,19.0
64,25.0
65,28.0
66,24.0
67,15.0
68,19.0
69,34.0
70,20.0
71,17.0
72,32.0
73,14.0
74,19.0
75,13.0
76,40.0
77,15.0
78,21.0
79,19.0
80,21.0
81,20.0
82,12.0
83,10.0
84,6.0
85,25.0
86,14.0
87,21.0
88,12.0
89,20.0
90,31.0
91,27.0
92,15.0
93,20.0
94,17.0
95,12.0
96,19.0
97,20.0
98,20.0
99,13.0
100,47.0
101,22.0
102,20.0
103,16.0
104,12.0
105,14.0
106,22.0
107,28.0
108,14.0
109,16.0
110,17.0
111,18.0
112,30.0
113,18.0
114,14.0
115,17.0
116,14.0
117,19.0
118,14.0
119,15.0
120,15.0
121,12.0
122,15.0
123,14.0
124,13.0
125,13.0
126,28.0
127,18.0
128,32.0
129,13.0
130,18.0
131,22.0
132,26.0
133,14.0
134,14.0
135,11.0
136,18.0
137,15.0
138,13.0
139,16.0
140,18.0
141,35.0
142,29.0
143,27.0
144,34.0
145,28.0
146,19.0
147,16.0
148,20.0
149,30.0
150,25.0
151,16.0
152,17.0
153,11.0
154,21.0
155,24.0
156,14.0
157,37.0
158,20.0
159,12.0
160,33.0
161,22.0
162,20.0
163,23.0
164,9.0
165,10.0
166,11.0
167,27.0
168,17.0
169,12.0
170,14.0
171,18.0
172,15.0
173,14.0
174,16.0
175,14.0
176,29.0
177,16.0
178,9.0
179,29.0
180,13.0
181,10.0
182,29.0
183,22.0
184,16.0
185,31.0
186,16.0
187,14.0
188,15.0
189,19.0
190,23.0
191,16.0
192,17.0
193,19.0
194,11.0
195,17.0
196,17.0
197,21.0
198,20.0
199,19.0
200,21.0
201,13.0
202,26.0
203,13.0
204,19.0
205,13.0
206,13.0
207,14.0
208,18.0
209,10.0
210,19.0
211,31.0
212,7.0
213,27.0
214,24.0
215,16.0
216,16.0
217,17.0
218,15.0
219,31.0
220,15.0
221,17.0
222,28.0
223,32.0
224,13.0
225,13.0
226,15.0
227,15.0
228,25.0
229,12.0
230,13.0
231,26.0
232,14.0
233,22.0
234,20.0
235,19.0
236,19.0
237,18.0
238,10.0
239,17.0
240,19.0
241,25.0
242,20.0
243,16.0
244,28.0
245,15.0
246,19.0
247,23.0
248,16.0
249,21.0
250,14.0
251,16.0
252,10.0
253,26.0
254,22.0
255,12.0
256,9.0
257,12.0
258,10.0
259,21.0
260,12.0
261,20.0
262,10.0
263,19.0
264,20.0
265,18.0
266,14.0
267,20.0
268,30.0
269,18.0
270,10.0
271,14.0
272,30.0
273,21.0
274,16.0
275,9.0
276,31.0
277,29.0
278,13.0
279,22.0
280,30.0
281,15.0
282,15.0
283,26.0
284,12.0
285,14.0
286,15.0
287,9.0
288,21.0
289,29.0
290,10.0
291,12.0
292,12.0
293,21.0
294,18.0
295,11.0
296,15.0
297,24.0
298,13.0
299,16.0
300,27.0
301,15.0
302,30.0
303,17.0
304,14.0
305,31.0
306,18.0
307,19.0
308,19.0
309,26.0
310,11.0
311,16.0
312,26.0
313,18.0
314,15.0
315,24.0
316,11.0
317,27.0
318,15.0
319,20.0
320,22.0
321,14.0
322,24.0
323,16.0
324,21.0
