,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.5,13.0,31.5,18.5,6.5,1.0,0.0,0.0,0.5
6,0.0,0.0,0.0,0.0,1.0,9.5,53.0,45.5,14.0,3.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.5,3.5,37.5,83.5,40.0,13.5,3.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,1.0,8.0,37.5,34.5,13.5,3.0,1.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,30.0,18.5,3.5,2.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,13.0,9.5,5.0,2.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.0,2.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,0.0,2.0
