,0
0,1408
1,791
2,211
3,881
4,2370
5,2498
6,1284
7,1573
8,1615
9,2102
10,1071
11,292
12,1065
13,782
14,2286
15,571
16,2065
17,917
18,1984
19,1434
20,1866
21,2494
22,847
23,1596
24,1385
25,1771
26,899
27,123
28,418
29,819
30,1101
31,1921
32,347
33,48
34,2033
35,747
36,934
37,1566
38,1024
39,928
40,698
41,988
42,830
43,1905
44,1236
45,1277
46,746
47,2493
48,2391
49,1144
50,2462
51,803
52,154
53,535
54,2129
55,176
56,467
57,1013
58,186
59,122
60,528
61,329
62,1185
63,242
64,1526
65,268
66,1191
67,1219
68,453
69,12
70,554
71,834
72,1315
73,1345
74,430
75,362
76,187
77,1747
78,1221
79,310
80,1042
81,2261
82,763
83,313
84,967
85,2388
86,941
87,337
88,850
89,455
90,1052
91,2064
92,181
93,2440
94,499
95,1478
96,2010
97,500
98,1792
99,1179
100,1611
101,2490
102,1285
103,1987
104,1640
105,429
106,1126
107,1539
108,2317
109,607
110,1733
111,1974
112,1278
113,146
114,822
115,926
116,527
117,102
118,124
119,1752
120,1768
121,495
122,1359
123,1183
124,149
125,2268
126,2340
127,908
128,1976
129,1713
130,114
131,939
132,1034
133,513
134,433
135,282
136,2271
137,726
138,750
139,1718
140,1804
141,1341
142,1038
143,1933
144,2397
145,1093
146,729
147,2054
148,1396
149,359
150,2110
151,484
152,1691
153,29
154,1545
155,1832
156,2362
157,1799
158,1305
159,852
160,598
161,547
162,351
163,1035
164,350
165,569
166,298
167,2468
168,2442
169,2413
170,2263
171,2105
172,593
173,2364
174,81
175,645
176,562
177,2298
178,2372
179,2446
180,1699
181,796
182,2042
183,2006
184,377
185,436
186,375
187,931
188,1594
189,2472
190,1639
191,33
192,2089
193,2491
194,2420
195,672
196,2058
197,1762
198,319
199,721
200,1628
201,1936
202,438
203,1638
204,1889
205,160
206,1122
207,946
208,927
209,408
210,104
211,1168
212,728
213,468
214,2311
215,1226
216,2303
217,2063
218,392
219,99
220,599
221,567
222,1546
223,1328
224,2047
225,2233
226,2066
227,2454
228,1274
229,2190
230,1666
231,751
232,1252
233,20
234,1171
235,202
236,26
237,1873
238,424
239,610
240,1593
241,2152
242,134
243,798
244,1106
245,1104
246,1292
247,1291
248,480
249,259
250,2259
251,1128
252,526
253,681
254,2116
255,2245
256,534
257,1711
258,1070
259,2192
260,1993
261,1533
262,1079
263,1911
264,674
265,295
266,343
267,2023
268,1497
269,80
270,1965
271,1033
272,1486
273,1829
274,1663
275,17
276,955
277,442
278,713
279,1916
280,646
281,844
282,2367
283,1166
284,2304
285,702
286,1235
287,7
288,1216
289,1880
290,1715
291,1726
292,1687
293,44
294,2252
295,474
296,684
297,1045
298,1535
299,740
300,271
301,274
302,884
303,2358
304,340
305,1755
306,1241
307,888
308,1124
309,304
310,1352
311,1393
312,2243
313,2385
314,1141
315,400
316,355
317,771
318,2185
319,980
320,1890
321,2435
322,1917
323,1857
324,2401
325,1485
326,1524
327,1343
328,2337
329,2369
330,1296
331,163
332,1358
333,866
334,2035
335,938
336,1544
337,117
338,256
339,708
340,1689
341,1561
342,1863
343,1923
344,662
345,1132
346,1098
347,1657
348,431
349,1057
350,2439
351,2081
352,1174
353,1929
354,701
355,880
356,1939
357,2138
358,2216
359,1084
360,2366
361,138
362,2242
363,615
364,2166
365,564
366,971
367,1077
368,542
369,1176
370,709
371,1552
372,1273
373,496
374,410
375,1175
376,413
377,2226
378,1683
379,895
380,556
381,2048
382,1441
383,769
384,671
385,2200
386,1758
387,1410
388,2411
389,1673
390,38
391,335
392,2199
393,1642
394,536
395,532
396,2445
397,2125
398,1356
399,2142
400,947
401,1616
402,2050
403,308
404,1682
405,165
406,2122
407,2213
408,876
409,1994
410,1227
411,1325
412,50
413,2390
414,2049
415,49
416,2051
417,1741
418,203
419,233
420,936
421,1496
422,621
423,2310
424,2475
425,2415
426,1955
427,622
428,425
429,1481
430,2244
431,185
432,454
433,4
434,388
435,2198
436,1667
437,2180
438,2128
439,2071
440,626
441,2273
442,1456
443,2155
444,597
445,1660
446,1211
447,543
448,1019
449,2238
450,1951
451,2466
452,1347
453,748
454,1265
455,631
456,1317
457,489
458,1119
459,667
460,466
461,52
462,932
463,1231
464,636
465,1661
466,1587
467,2062
468,1650
469,1968
470,1722
471,2126
472,855
473,1617
474,1266
475,892
476,1309
477,389
478,616
479,1117
480,1632
481,2308
482,1656
483,608
484,2036
485,1055
486,1072
487,394
488,70
489,2189
490,223
491,1195
492,775
493,1449
494,519
495,1969
496,2080
497,1753
498,1867
499,1777
500,1197
501,2419
502,940
503,1303
504,919
505,330
506,365
507,1036
508,1455
509,238
510,2041
511,1357
512,1608
513,2348
514,1445
515,69
516,1288
517,1233
518,272
519,1388
520,2431
521,1626
522,1840
523,656
524,47
525,1604
526,224
527,2487
528,1428
529,1664
530,2097
531,1635
532,1059
533,1814
534,2120
535,2349
536,1590
537,2133
538,1841
539,1822
540,97
541,706
542,668
543,412
544,509
545,2320
546,1249
547,1392
548,1813
549,1467
550,2021
551,250
552,575
553,244
554,1834
555,731
556,1648
557,1263
558,119
559,724
560,2270
561,992
562,978
563,494
564,1318
565,964
566,1321
567,449
568,293
569,2223
570,173
571,490
572,1187
573,2078
574,1479
575,1279
576,158
577,2134
578,2479
579,1843
580,1116
581,300
582,1571
583,344
584,345
585,2027
586,1382
587,676
588,2172
589,98
590,1555
591,2345
592,367
593,121
594,1153
595,767
596,2143
597,730
598,1764
599,459
600,200
601,21
602,757
603,2409
604,1630
605,1846
606,2175
607,2510
608,2181
609,2044
610,1802
611,2254
612,1078
613,1643
614,1985
615,873
616,478
617,91
618,2500
619,808
620,100
621,1247
622,1500
623,1932
624,2279
625,1003
626,373
627,581
628,132
629,1096
630,2008
631,2386
632,1148
633,37
634,2342
635,2332
636,1600
637,1158
638,446
639,2149
640,584
641,353
642,843
643,254
644,1250
645,1030
646,1429
647,797
648,94
649,1162
650,2459
651,742
652,2046
653,273
654,2389
655,1793
656,1308
657,1817
658,318
659,2338
660,1521
661,647
662,252
663,1937
664,2412
665,2169
666,976
667,354
668,1050
669,1154
670,1922
671,1044
672,1100
673,1280
674,1861
675,1997
676,1925
677,1859
678,2222
679,853
680,507
681,1732
682,1644
683,326
684,1761
685,862
686,719
687,1845
688,1778
689,813
690,678
691,741
692,1245
693,2476
694,1066
695,2075
696,2217
697,1927
698,537
699,666
700,1118
701,743
702,649
703,331
704,1815
705,1514
706,2441
707,918
708,864
709,2168
710,30
711,1967
712,1468
713,846
714,1785
715,2215
716,1004
717,1040
718,55
719,1384
720,90
721,533
722,235
723,969
724,2178
725,561
726,1871
727,1875
728,2098
729,959
730,1379
731,644
732,660
733,502
734,317
735,131
736,1882
737,205
738,2113
739,2421
740,409
741,2073
742,67
743,1623
744,411
745,2013
746,1806
747,1048
748,770
749,1622
750,2488
751,2485
752,894
753,1770
754,1554
755,342
756,725
757,1525
758,405
759,555
760,1452
761,1837
762,983
763,637
764,2214
765,290
766,1020
767,2267
768,206
769,1
770,1942
771,2117
772,1672
773,1729
774,1887
775,2504
776,1298
777,1659
778,1786
779,1816
780,1680
781,2269
782,1720
783,352
784,1334
785,1700
786,1506
787,2221
788,752
789,2464
790,1156
791,689
792,987
793,952
794,1501
795,2326
796,2184
797,999
798,602
799,1728
800,1886
801,1754
802,1931
803,1069
804,2088
805,227
806,1203
807,2037
808,1348
809,1135
810,2084
811,739
812,891
813,1140
814,126
815,420
816,722
817,1966
818,2434
819,1271
820,15
821,1319
822,889
823,2057
824,804
825,303
826,72
827,1812
828,516
829,1349
830,1934
831,1413
832,65
833,1170
834,240
835,1399
836,1900
837,1665
838,1355
839,792
840,1912
841,137
842,1001
843,2315
844,324
845,136
846,2056
847,1509
848,879
849,1731
850,716
851,230
852,1703
853,1258
854,1149
855,1541
856,1671
857,1513
858,395
859,652
860,1698
861,1979
862,88
863,10
864,1702
865,2017
866,1827
867,1597
868,642
869,2276
870,572
871,1634
872,2123
873,2329
874,2077
875,2135
876,1767
877,1102
878,170
879,1773
880,1322
881,327
882,2325
883,2371
884,171
885,2438
886,2436
887,1060
888,2351
889,1883
890,264
891,1049
892,2007
893,77
894,309
895,580
896,935
897,1407
898,1798
899,1862
900,1489
901,2426
902,249
903,2109
904,2232
905,1420
906,1756
907,2295
908,973
909,1677
910,2260
911,1115
912,2414
913,924
914,1998
915,1946
916,2202
917,452
918,2495
919,262
920,2258
921,596
922,1696
923,705
924,2060
925,2313
926,518
927,718
928,1202
929,1885
930,2328
931,447
932,625
933,477
934,2448
935,103
936,1775
937,285
938,188
939,261
940,109
941,2170
942,457
943,2236
944,2509
945,1244
946,2101
947,902
948,1899
949,1311
950,368
951,2100
952,2154
953,2363
954,115
955,120
956,24
957,2330
958,1986
959,603
960,1490
961,71
962,1415
963,2087
964,280
965,1025
966,1709
967,1847
968,2380
969,2361
970,62
971,827
972,1745
973,1748
974,127
975,778
976,733
977,1507
978,1287
979,74
980,2145
981,1527
982,1895
983,2512
984,1652
985,686
986,1564
987,145
988,3
989,1021
990,483
991,522
992,2410
993,2034
994,1157
995,1983
996,35
997,58
998,2456
999,1402
1000,1418
1001,583
1002,5
1003,1830
1004,872
1005,2398
1006,328
1007,356
1008,878
1009,385
1010,1164
1011,1364
1012,360
1013,232
1014,948
1015,643
1016,1061
1017,1744
1018,795
1019,14
1020,297
1021,1570
1022,2241
1023,1919
1024,1433
1025,2471
1026,2297
1027,1852
1028,1651
1029,1981
1030,1757
1031,1791
1032,184
1033,8
1034,2205
1035,1612
1036,1826
1037,2148
1038,541
1039,150
1040,140
1041,1173
1042,1240
1043,560
1044,334
1045,1120
1046,758
1047,680
1048,435
1049,951
1050,269
1051,1836
1052,1264
1053,1405
1054,1014
1055,903
1056,2107
1057,1063
1058,2305
1059,1255
1060,169
1061,1133
1062,549
1063,820
1064,1692
1065,904
1066,379
1067,790
1068,2014
1069,749
1070,1828
1071,816
1072,1470
1073,989
1074,1864
1075,1914
1076,1884
1077,2387
1078,1891
1079,1906
1080,531
1081,2357
1082,776
1083,213
1084,1075
1085,711
1086,828
1087,192
1088,486
1089,1581
1090,856
1091,965
1092,2020
1093,2218
1094,86
1095,945
1096,1503
1097,1134
1098,2061
1099,63
1100,201
1101,2393
1102,1788
1103,2040
1104,907
1105,1800
1106,1662
1107,1268
1108,1742
1109,193
1110,1283
1111,2383
1112,266
1113,670
1114,1320
1115,1163
1116,220
1117,1192
1118,1494
1119,831
1120,1727
1121,550
1122,546
1123,1853
1124,566
1125,1453
1126,2234
1127,1511
1128,1323
1129,1801
1130,1743
1131,611
1132,2379
1133,257
1134,1043
1135,2052
1136,1064
1137,585
1138,1376
1139,2451
1140,677
1141,963
1142,1893
1143,1523
1144,896
1145,2289
1146,2339
1147,1371
1148,1705
1149,710
1150,1716
1151,570
1152,783
1153,1301
1154,2146
1155,605
1156,664
1157,1949
1158,2031
1159,937
1160,707
1161,1143
1162,900
1163,1181
1164,1331
1165,96
1166,1844
1167,1958
1168,51
1169,1487
1170,40
1171,2489
1172,441
1173,780
1174,2069
1175,1151
1176,2255
1177,1257
1178,548
1179,101
1180,786
1181,1432
1182,2502
1183,1825
1184,402
1185,445
1186,2012
1187,1460
1188,981
1189,2160
1190,279
1191,263
1192,2211
1193,195
1194,957
1195,1963
1196,997
1197,1262
1198,481
1199,1474
1200,1484
1201,2437
1202,83
1203,1695
1204,1448
1205,291
1206,2321
1207,673
1208,1238
1209,1112
1210,996
1211,2025
1212,2275
1213,218
1214,933
1215,1517
1216,307
1217,1327
1218,1398
1219,756
1220,1421
1221,2463
1222,2159
1223,592
1224,867
1225,2400
1226,761
1227,2219
1228,551
1229,1290
1230,2417
1231,157
1232,406
1233,1505
1234,1184
1235,204
1236,2505
1237,2164
1238,93
1239,700
1240,1769
1241,840
1242,697
1243,1848
1244,162
1245,1304
1246,825
1247,1737
1248,2302
1249,589
1250,781
1251,1218
1252,1734
1253,1307
1254,920
1255,1215
1256,1636
1257,1831
1258,877
1259,632
1260,2153
1261,2432
1262,321
1263,1053
1264,1888
1265,558
1266,116
1267,2499
1268,1372
1269,826
1270,1046
1271,675
1272,2201
1273,108
1274,1123
1275,679
1276,764
1277,1892
1278,2247
1279,1212
1280,1482
1281,2022
1282,265
1283,1127
1284,1114
1285,32
1286,699
1287,1776
1288,799
1289,1338
1290,717
1291,2187
1292,745
1293,2209
1294,448
1295,893
1296,1668
1297,2111
1298,1466
1299,1395
1300,2227
1301,2266
1302,1876
1303,1360
1304,1189
1305,2119
1306,2377
1307,576
1308,199
1309,2009
1310,1473
1311,1147
1312,634
1313,2162
1314,2212
1315,2173
1316,1193
1317,836
1318,1427
1319,366
1320,961
1321,432
1322,258
1323,1312
1324,341
1325,762
1326,1342
1327,823
1328,253
1329,1205
1330,916
1331,374
1332,794
1333,617
1334,1403
1335,89
1336,883
1337,568
1338,2124
1339,1961
1340,2018
1341,1056
1342,284
1343,1026
1344,1510
1345,1232
1346,1739
1347,1111
1348,1146
1349,1310
1350,1389
1351,1397
1352,2115
