,0
0,2429
1,89
2,1288
3,228
4,418
5,1908
6,2474
7,746
8,1138
9,239
10,723
11,594
12,1602
13,855
14,1397
15,2311
16,2111
17,924
18,959
19,2214
20,2198
21,536
22,1110
23,1627
24,1490
25,7
26,1445
27,609
28,213
29,540
30,1785
31,169
32,1052
33,1611
34,2461
35,1657
36,364
37,2022
38,476
39,301
40,67
41,1381
42,1570
43,1805
44,739
45,1348
46,366
47,249
48,2112
49,1230
50,216
51,1391
52,1417
53,939
54,651
55,1368
56,507
57,1269
58,558
59,2043
60,694
61,2042
62,2301
63,610
64,2153
65,29
66,1918
67,282
68,894
69,1388
70,573
71,1617
72,1455
73,445
74,556
75,1111
76,139
77,360
78,1671
79,134
80,1819
81,2207
82,2415
83,1606
84,47
85,63
86,1018
87,1005
88,1450
89,1446
90,1911
91,447
92,896
93,2388
94,116
95,1879
96,15
97,454
98,1558
99,1945
100,1979
101,1372
102,1950
103,636
104,1370
105,1287
106,1692
107,528
108,974
109,1131
110,1296
111,162
112,94
113,233
114,1994
115,866
116,2084
117,1792
118,111
119,969
120,2286
121,1147
122,1835
123,930
124,450
125,1221
126,747
127,475
128,415
129,2251
130,1241
131,683
132,846
133,1144
134,1614
135,246
136,1242
137,720
138,1160
139,1016
140,1926
141,778
142,2272
143,192
144,951
145,1967
146,1203
147,121
148,1719
149,1914
150,1765
151,713
152,389
153,1577
154,221
155,1071
156,1143
157,1097
158,1247
159,1191
160,1873
161,1477
162,406
163,1871
164,1425
165,1306
166,28
167,1252
168,1691
169,873
170,2472
171,2236
172,2372
173,2177
174,1703
175,1929
176,2244
177,910
178,202
179,195
180,1386
181,583
182,2159
183,1324
184,427
185,1484
186,1339
187,773
188,1244
189,1099
190,663
191,579
192,1327
193,80
194,31
195,1478
196,1483
197,315
198,792
199,1536
200,918
201,100
202,363
203,42
204,1999
205,1227
206,2160
207,261
208,812
209,2331
210,1713
211,333
212,1669
213,601
214,1402
215,382
216,373
217,54
218,1863
219,916
220,2498
221,1070
222,16
223,936
224,46
225,2360
226,431
227,524
228,1373
229,317
230,397
231,829
232,2027
233,2416
234,2353
235,487
236,1523
237,906
238,2038
239,2365
240,2202
241,966
242,531
243,1266
244,41
245,1957
246,378
247,553
248,1877
249,614
250,1
251,1731
252,2355
253,2020
254,1537
255,1807
256,1789
257,1466
258,1876
259,66
260,1767
261,2449
262,980
263,1369
264,2007
265,1594
266,948
267,1574
268,1966
269,1866
270,588
271,1088
272,2106
273,411
274,1906
275,2173
276,2478
277,892
278,529
279,2021
280,935
281,1701
282,184
283,546
284,734
285,1301
286,2092
287,1403
288,1735
289,1643
290,92
291,266
292,217
293,1179
294,1760
295,1441
296,512
297,1777
298,1762
299,686
300,1452
301,1786
302,2050
303,314
304,2
305,1454
306,693
307,2340
308,2028
309,1002
310,1358
311,895
312,20
313,1787
314,1499
315,1183
316,1995
317,283
318,671
319,1798
320,1426
321,2253
322,154
323,2089
324,2490
325,444
326,837
327,1056
328,2054
329,1189
330,354
331,289
332,2127
333,230
334,580
335,2425
336,1459
337,238
338,224
339,1232
340,865
341,2374
342,2264
343,2093
344,1025
345,1900
346,1145
347,1019
348,2337
349,2438
350,2366
351,674
352,526
353,1458
354,1081
355,51
356,1128
357,1498
358,1840
359,1880
360,270
361,934
362,559
363,1467
364,1902
365,2432
366,1680
367,1930
368,1702
369,1322
370,147
371,2464
372,1910
373,1125
374,581
375,1632
376,1604
377,2031
378,2262
379,786
380,1681
381,1790
382,925
383,2329
384,253
385,789
386,1491
387,1589
388,1836
389,1117
390,1457
391,74
392,1828
393,757
394,1656
395,709
396,1447
397,2351
398,803
399,1640
400,1172
401,405
402,113
403,408
404,2122
405,1817
406,652
407,932
408,1251
409,463
410,1510
411,1529
412,1511
413,1234
414,689
415,1694
416,2462
417,1854
418,183
419,818
420,219
421,1494
422,994
423,416
424,738
425,1142
426,1434
427,1750
428,150
429,458
430,2404
431,1224
432,1868
433,187
434,2407
435,2304
436,466
437,1055
438,541
439,87
440,1435
441,2121
442,1033
443,1825
444,1630
445,1658
446,2357
447,2510
448,2167
449,1622
450,539
451,664
452,697
453,1674
454,770
455,60
456,1619
457,2222
458,1747
459,1047
460,2364
461,655
462,2221
463,2226
464,404
465,2252
466,2277
467,2216
468,2181
469,1195
470,1291
471,330
472,351
473,815
474,403
475,1711
476,434
477,1105
478,1801
479,673
480,1791
481,448
482,343
483,643
484,2205
485,1363
486,2381
487,2316
488,1486
489,52
490,841
491,1518
492,1821
493,1443
494,2447
495,1280
496,1205
497,348
498,1522
499,212
500,1136
501,518
502,259
503,1896
504,2101
505,1010
506,1216
507,1516
508,1413
509,2385
510,839
511,1620
512,305
513,1870
514,414
515,157
516,2499
517,1736
518,2157
519,2189
520,1356
521,1175
522,1678
523,940
524,2105
525,1832
526,777
527,402
528,861
529,1167
530,1045
531,1514
532,1353
533,1304
534,2325
535,2302
536,40
537,1421
538,91
539,597
540,460
541,2508
542,1739
543,34
544,1946
545,2032
546,1625
547,488
548,729
549,2390
550,222
551,148
552,481
553,158
554,1579
555,1015
556,2142
557,699
558,1818
559,2436
560,1233
561,852
562,2451
563,1885
564,901
565,2165
566,1174
567,2196
568,1645
569,1667
570,1869
571,395
572,2026
573,332
574,309
575,1202
576,1442
577,929
578,1578
579,1411
580,1357
581,626
582,2488
583,1201
584,667
585,1132
586,2359
587,2492
588,177
589,191
590,163
591,2487
592,1328
593,814
594,1705
595,1576
596,1988
597,996
598,1121
599,530
600,371
601,2110
602,311
603,2306
604,1236
605,1354
606,1845
607,48
608,396
609,787
610,1766
611,1898
612,193
613,1886
614,1437
615,816
616,1808
617,2346
618,796
619,483
620,101
621,1508
622,1715
623,743
624,1448
625,477
626,716
627,388
628,1526
629,1080
630,2048
631,2004
632,2440
633,2479
634,1567
635,298
636,756
637,218
638,2143
639,740
640,869
641,2087
642,657
643,1156
644,2392
645,421
646,2260
647,1650
648,323
649,1481
650,2450
651,908
652,367
653,1649
654,2144
655,1200
656,577
657,2036
658,119
659,1464
660,1035
661,1935
662,774
663,1321
664,2231
665,2484
666,1285
667,1196
668,678
669,1058
670,2501
671,950
672,2100
673,2183
674,393
675,2001
676,1916
677,1664
678,504
679,1336
680,544
681,1507
682,226
683,1069
684,2255
685,2131
686,1771
687,882
688,1115
689,944
690,1461
691,696
692,1925
693,1724
694,2009
695,1718
696,947
697,2002
698,1689
699,1305
700,766
701,1974
702,2097
703,872
704,248
705,1496
706,1462
707,494
708,1414
709,2135
710,961
711,1783
712,2289
713,110
714,485
715,324
716,358
717,2220
718,2467
719,1362
720,2282
721,1330
722,456
723,1744
724,967
725,1728
726,633
727,267
728,933
729,2348
730,1057
731,1748
732,79
733,760
734,501
735,506
736,1290
737,1716
738,2203
739,2075
740,799
741,616
742,1903
743,272
744,1884
745,1245
746,1556
747,1123
748,370
749,2003
750,1638
751,21
752,1315
753,879
