,Wind
0,12.0
1,17.0
2,18.0
3,15.0
4,13.0
5,19.0
6,28.0
7,20.0
8,10.0
9,8.0
10,22.0
11,21.0
12,13.0
13,17.0
14,15.0
15,25.0
16,15.0
17,12.0
18,21.0
19,19.0
20,16.0
21,17.0
22,13.0
23,16.0
24,13.0
25,15.0
26,23.0
27,16.0
28,8.0
29,19.0
30,17.0
31,15.0
32,20.0
33,17.0
34,15.0
35,18.0
36,14.0
37,20.0
38,12.0
39,15.0
40,13.0
41,28.0
42,13.0
43,11.0
44,25.0
45,10.0
46,12.0
47,16.0
48,15.0
49,16.0
50,11.0
51,17.0
52,13.0
53,11.0
54,17.0
55,12.0
56,9.0
57,20.0
58,25.0
59,10.0
60,14.0
61,20.0
62,23.0
63,8.0
64,12.0
65,16.0
66,17.0
67,22.0
68,14.0
69,21.0
70,9.0
71,28.0
72,11.0
73,20.0
74,21.0
75,16.0
76,22.0
77,13.0
78,10.0
79,22.0
80,16.0
81,14.0
82,12.0
83,17.0
84,9.0
85,13.0
86,22.0
87,12.0
88,23.0
89,13.0
90,21.0
91,13.0
92,35.0
93,22.0
94,20.0
95,10.0
96,9.0
97,18.0
98,16.0
99,25.0
100,18.0
101,15.0
102,7.0
103,13.0
104,11.0
105,20.0
106,17.0
107,15.0
108,17.0
109,10.0
110,15.0
111,17.0
112,13.0
113,16.0
114,21.0
115,11.0
116,14.0
117,15.0
118,17.0
119,15.0
120,18.0
121,14.0
122,26.0
123,14.0
124,15.0
125,21.0
126,15.0
127,14.0
128,9.0
129,23.0
130,29.0
131,15.0
132,6.0
133,22.0
134,21.0
135,20.0
136,30.0
137,11.0
138,19.0
139,11.0
140,24.0
141,9.0
142,24.0
143,17.0
144,27.0
145,11.0
146,18.0
147,20.0
148,20.0
149,14.0
150,9.0
151,15.0
152,11.0
153,14.0
154,18.0
155,12.0
156,17.0
157,11.0
158,10.0
159,11.0
160,12.0
161,21.0
162,11.0
163,18.0
164,22.0
165,8.0
166,11.0
167,11.0
168,13.0
169,10.0
170,17.0
171,19.0
172,11.0
173,17.0
174,21.0
175,6.0
176,17.0
177,18.0
178,20.0
179,11.0
180,11.0
181,15.0
182,13.0
183,15.0
184,17.0
185,19.0
186,9.0
187,29.0
188,14.0
189,14.0
190,16.0
191,12.0
192,12.0
193,23.0
194,17.0
195,18.0
196,17.0
197,15.0
198,12.0
199,9.0
200,7.0
201,15.0
202,18.0
203,17.0
204,13.0
205,21.0
206,18.0
207,22.0
208,12.0
209,22.0
210,17.0
211,10.0
212,11.0
213,11.0
214,15.0
215,15.0
216,20.0
217,7.0
218,20.0
219,17.0
220,8.0
221,22.0
222,17.0
223,24.0
224,9.0
225,10.0
226,24.0
227,20.0
228,11.0
229,21.0
230,8.0
231,14.0
232,18.0
233,15.0
234,24.0
235,20.0
236,12.0
237,13.0
238,15.0
239,9.0
240,12.0
241,7.0
242,14.0
243,22.0
244,29.0
245,22.0
246,29.0
247,15.0
248,28.0
249,19.0
250,9.0
251,25.0
252,10.0
253,12.0
254,10.0
255,21.0
256,17.0
257,20.0
258,20.0
259,10.0
260,19.0
261,15.0
262,10.0
