,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.6,2.2,2.4,0.6,0.1,0.1,0.0,0.0,0.0,0.0
4,0.0,0.1,0.7,2.3,9.8,22.6,14.0,3.1,0.7,0.3,0.2,0.1,0.1
5,0.1,0.3,1.0,5.6,24.7,52.8,59.5,20.5,2.2,0.2,0.1,0.0,0.0
6,0.3,0.2,0.2,1.4,9.2,39.5,64.9,41.2,11.3,0.6,0.2,0.0,0.0
7,0.0,0.0,0.0,0.4,2.8,13.1,36.2,40.1,17.5,1.8,0.1,0.0,0.0
8,0.1,0.0,0.2,0.7,1.5,2.1,8.0,20.3,17.4,5.2,0.5,0.0,0.0
9,0.0,0.0,0.0,0.0,0.1,0.7,4.0,8.6,17.2,6.1,1.2,0.1,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,7.4,6.4,1.7,0.1,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,2.3,1.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.4,0.6,0.0,0.0
