,0
0,2176
1,904
2,2364
3,11
4,2345
5,488
6,898
7,1541
8,2062
9,1608
10,1801
11,1853
12,1413
13,177
14,562
15,2197
16,1017
17,900
18,1154
19,1709
20,2079
21,447
22,646
23,685
24,1559
25,920
26,758
27,1481
28,809
29,768
30,2331
31,986
32,105
33,2505
34,2172
35,1534
36,1505
37,2298
38,1888
39,1777
40,2296
41,790
42,1721
43,2179
44,999
45,1641
46,2322
47,951
48,1689
49,1583
50,1283
51,1745
52,2163
53,692
54,2371
55,1162
56,33
57,1371
58,2340
59,1379
60,1013
61,2376
62,148
63,2344
64,1400
65,232
66,1431
67,846
68,696
69,1518
70,2046
71,2486
72,260
73,1385
74,2196
75,1082
76,1726
77,1396
78,1827
79,1058
80,988
81,1316
82,277
83,2276
84,1198
85,813
86,2104
87,349
88,1643
89,2190
90,728
91,638
92,233
93,1910
94,2135
95,687
96,2263
97,546
98,625
99,798
100,1220
101,2109
102,2038
103,1304
104,910
105,1903
106,1611
107,1480
108,1056
109,1797
110,41
111,808
112,2013
113,1639
114,2449
115,947
116,858
117,78
118,2400
119,1913
120,656
121,799
122,533
123,1617
124,892
125,2228
126,1015
127,1833
128,1952
129,2056
130,547
131,269
132,2011
133,601
134,2085
135,2006
136,1489
137,494
138,1804
139,451
140,1160
141,844
142,2112
143,68
144,834
145,172
146,539
147,250
148,1990
149,2501
150,1786
151,319
152,942
153,1909
154,1677
155,1598
156,28
157,1366
158,2330
159,2044
160,482
161,1977
162,64
163,2061
164,2286
165,1064
166,2087
167,992
168,1886
169,134
170,1111
171,2015
172,657
173,127
174,673
175,731
176,2329
177,190
178,462
179,2451
180,1261
181,420
182,1984
183,1491
184,77
185,2240
186,380
187,626
188,2360
189,1891
190,987
191,1042
192,1590
193,2343
194,1119
195,63
196,1701
197,119
198,1130
199,61
200,2167
201,2047
202,2259
203,835
204,1931
205,1695
206,631
207,302
208,2214
209,1100
210,1498
211,1798
212,2005
213,253
214,1602
215,679
216,2396
217,1482
218,2100
219,1799
220,876
221,833
222,307
223,2122
224,2125
225,1023
226,1281
227,1294
228,525
229,1732
230,2470
231,912
232,363
233,725
234,1978
235,616
236,712
237,1940
238,683
239,2466
240,2023
241,1475
242,25
243,709
244,455
245,327
246,398
247,1710
248,1132
249,1606
250,2315
251,1925
252,477
253,1464
254,707
255,1268
256,1382
257,2243
258,287
259,702
260,1820
261,750
262,2145
263,2188
264,131
265,1564
266,1361
267,247
268,1301
269,759
270,2251
271,1859
272,1025
273,1153
274,748
275,244
276,1714
277,1189
278,464
279,1372
280,1175
281,1546
282,382
283,306
284,1956
285,1493
286,401
287,1422
288,1470
289,383
290,1955
291,1860
292,2402
293,2012
294,1186
295,1164
296,2142
297,1360
298,788
299,829
300,1466
301,1244
302,2029
303,1486
304,1580
305,1083
306,53
307,1442
308,2234
309,640
310,1539
311,1992
312,2120
313,2432
314,636
315,676
316,1146
317,1849
318,2211
319,111
320,1904
321,566
322,2091
323,1302
324,185
325,1717
326,1567
327,265
328,1703
329,2248
330,173
331,2106
332,1796
333,2024
334,810
335,1922
336,62
337,2358
338,2418
339,691
340,2118
341,1747
342,1793
343,1398
344,367
345,1099
346,1080
347,2346
348,1499
349,1532
350,2128
351,228
352,1740
353,2161
354,1751
355,680
356,1524
357,1258
358,1950
359,1862
360,29
361,1670
362,2415
363,879
364,662
365,89
366,2394
367,2144
368,1932
369,805
370,20
371,2253
372,2365
373,881
374,300
375,1156
376,629
377,955
378,2093
379,1873
380,1757
381,1769
382,746
383,2464
384,828
385,1229
386,2191
387,1408
388,1737
389,2407
390,198
391,2367
392,1409
393,2089
394,610
395,772
396,45
397,466
398,2490
399,913
400,2321
401,1784
402,193
403,8
404,162
405,1581
406,639
407,775
408,1230
409,541
410,1882
411,930
412,361
413,1587
414,1339
415,2180
416,840
417,1105
418,227
419,1248
420,645
421,407
422,412
423,2369
424,390
425,1995
426,1223
427,452
428,1407
429,1713
430,1536
431,1504
432,1840
433,81
434,2319
435,1040
436,1200
437,2033
438,652
439,323
440,1110
441,151
442,850
443,535
444,686
445,2393
446,1376
447,1483
448,1365
449,1014
450,1242
451,969
452,2168
453,975
454,911
455,2375
456,1333
457,49
458,2192
459,350
460,1773
461,1718
462,2252
463,962
464,2002
465,644
466,771
467,1902
468,1898
469,1782
470,1697
471,2026
472,2453
473,1883
474,446
475,1557
476,515
477,2064
478,2119
479,1208
480,669
481,1522
482,729
483,129
484,1585
485,205
486,856
487,2174
488,2036
489,1809
490,2324
491,1595
492,1935
493,713
494,1397
495,1601
496,1706
497,1007
498,830
499,551
500,202
501,923
502,1605
503,762
504,1410
505,1297
506,906
507,344
508,1386
509,434
510,1805
511,1923
512,1459
513,600
514,2081
515,635
516,457
517,1359
518,1877
519,824
520,141
521,2277
522,2421
523,1560
524,370
525,406
526,886
527,921
528,2397
529,1761
530,572
531,160
532,1262
533,682
534,864
535,2294
536,1515
537,161
538,1026
539,1173
540,1118
541,1683
542,1685
543,893
544,297
545,1279
546,1850
547,501
548,330
549,1363
550,1954
551,1776
552,308
553,1462
554,1772
555,1216
556,617
557,100
558,1979
559,352
560,2255
561,653
562,787
563,518
564,1228
565,1444
566,1322
567,1794
568,54
569,485
570,1912
571,1681
572,2140
573,1411
574,1916
575,155
576,112
577,745
578,706
579,14
580,902
581,567
582,1822
583,1783
584,397
585,2499
586,320
587,1676
588,1334
589,1622
590,2213
591,2194
592,2441
593,252
594,973
595,2147
596,2361
597,666
598,290
599,1678
600,979
601,1572
602,2031
603,329
604,1177
605,301
606,1554
607,641
608,156
609,1074
610,34
611,1380
612,1450
613,285
614,279
615,627
616,210
617,17
618,671
619,1699
620,797
621,128
622,1039
623,819
624,150
625,439
626,1323
627,289
628,711
629,622
630,1008
631,2184
632,208
633,1971
634,1239
635,360
636,1738
637,2452
638,1550
639,624
640,1448
641,266
642,867
643,795
644,4
645,1855
646,1418
647,1095
648,1785
649,837
650,103
651,1305
652,2301
653,392
654,199
655,2156
656,1202
657,2500
658,243
659,2045
660,1771
661,1416
662,545
663,2035
664,2218
665,2348
666,1121
667,42
668,978
669,1719
670,1496
671,694
672,1259
673,1787
674,1071
675,1907
676,1321
677,697
678,354
679,1051
680,2158
681,218
682,1199
683,891
684,1819
685,1983
686,2356
687,1312
688,38
689,1024
690,1255
691,132
692,1934
693,814
694,667
695,1435
696,1463
697,1616
698,2409
699,1810
700,1001
701,2473
702,919
703,1792
704,767
705,1425
706,2280
707,1663
708,251
709,1723
710,2105
711,882
712,1318
713,2411
714,1036
715,332
716,10
717,472
718,2040
719,1760
720,174
721,1725
722,1746
723,1354
724,2511
725,1331
726,2456
727,2102
728,1236
729,67
730,138
731,831
732,823
733,874
734,2209
735,742
736,1190
737,924
738,1686
739,2337
740,932
741,1123
742,1234
743,2447
744,817
745,1924
746,110
747,1433
748,1285
749,1044
750,747
751,399
752,766
753,1217
754,894
755,522
756,2189
757,693
758,1957
759,647
760,2481
761,255
762,1972
763,271
764,550
765,1563
766,1965
767,820
768,238
769,1263
770,1159
771,213
772,2496
773,2403
774,1240
775,1566
776,58
777,1682
778,643
779,1765
780,87
781,1093
782,684
783,612
784,853
785,2210
786,7
787,997
788,2221
789,2474
790,1072
791,106
792,2134
793,2021
794,2450
795,1392
796,1342
797,1183
798,1507
799,2351
800,763
801,1657
802,1551
803,2478
804,73
805,318
806,1231
807,124
808,1181
809,741
810,2088
811,1816
812,1241
813,1375
814,93
815,1434
816,324
817,1900
818,2437
819,1863
820,491
821,1125
822,32
823,1715
824,757
825,1427
826,873
827,440
828,2249
829,896
830,338
831,1759
832,594
833,437
834,1967
835,1653
836,648
837,1201
838,503
839,2488
840,2215
841,2413
842,1779
843,538
844,2380
845,461
846,509
847,1523
848,1277
849,2275
850,1309
851,1828
852,1731
853,30
854,1061
855,1458
856,1987
857,1357
858,0
859,1426
860,1652
861,1293
862,104
863,839
864,2303
865,1735
866,2250
867,1655
868,411
869,27
870,1324
871,1059
872,1272
873,147
874,743
875,981
876,1513
877,18
878,284
879,1158
880,2479
881,1943
882,581
883,2341
884,2157
885,1430
886,2416
887,467
888,2289
889,1287
890,2475
891,1813
892,1544
893,1937
894,2129
895,450
896,1238
897,1266
898,1109
899,578
900,704
901,935
902,2440
903,2328
904,934
905,2311
906,849
907,1568
908,885
909,90
910,2186
911,2175
912,1050
913,2071
914,1469
915,939
916,2043
917,1265
918,1963
919,527
920,1012
921,1852
922,1575
923,1383
924,1814
925,2498
926,1728
927,654
928,793
929,970
930,1803
931,336
932,2352
933,241
934,1552
935,499
936,2309
937,1576
938,1352
939,559
940,1858
941,1307
942,429
943,2057
944,1733
945,2034
946,2111
947,2495
948,86
949,79
950,239
951,2472
952,661
953,2246
954,2116
955,2185
956,281
957,340
958,2378
959,468
960,1314
961,2458
962,1811
963,1286
964,2130
965,668
966,776
967,2480
968,734
969,1517
970,2042
971,480
972,2178
973,1791
974,822
975,1514
976,1016
977,2187
978,495
979,690
980,113
981,428
982,781
983,1659
984,1192
985,1389
986,1982
987,303
988,2299
989,362
990,675
991,1928
992,751
993,1330
994,749
995,2306
996,2332
997,735
998,1621
999,884
1000,1049
1001,60
1002,573
1003,2060
1004,791
1005,1946
1006,960
1007,1046
1008,1441
1009,724
1010,1815
1011,1531
1012,143
1013,1630
1014,135
1015,2133
1016,372
1017,2278
1018,2445
1019,2417
1020,1500
1021,1461
1022,542
1023,2193
1024,1310
1025,603
1026,618
1027,1456
1028,442
