,Wind
0,5.0
1,11.0
2,8.0
3,16.0
4,10.0
5,9.0
6,14.0
7,7.0
8,13.0
9,12.0
10,16.0
11,13.0
12,7.0
13,11.0
14,13.0
15,16.0
16,9.0
17,7.0
18,15.0
19,10.0
20,27.0
21,8.0
22,21.0
23,11.0
24,10.0
25,10.0
26,11.0
27,9.0
28,17.0
29,7.0
30,11.0
31,14.0
32,7.0
33,7.0
34,12.0
35,11.0
36,12.0
37,11.0
38,16.0
39,6.0
40,13.0
41,18.0
42,7.0
43,13.0
44,4.0
45,10.0
46,9.0
47,11.0
48,11.0
49,16.0
50,11.0
51,8.0
52,24.0
53,19.0
54,7.0
55,10.0
56,15.0
57,10.0
58,7.0
59,13.0
60,8.0
61,17.0
62,10.0
63,8.0
64,9.0
65,11.0
66,8.0
67,8.0
68,10.0
69,9.0
70,12.0
71,20.0
72,13.0
73,20.0
74,8.0
75,15.0
76,10.0
77,15.0
78,9.0
79,10.0
80,12.0
81,13.0
82,9.0
83,8.0
84,7.0
85,17.0
86,10.0
87,14.0
88,11.0
89,14.0
90,8.0
91,20.0
92,10.0
93,11.0
94,21.0
95,4.0
96,10.0
97,26.0
98,24.0
99,7.0
100,19.0
101,21.0
102,17.0
103,11.0
104,33.0
105,14.0
106,9.0
107,4.0
108,13.0
109,10.0
110,7.0
111,8.0
112,17.0
113,11.0
114,11.0
115,10.0
116,8.0
117,25.0
118,10.0
119,6.0
120,9.0
121,7.0
122,9.0
123,11.0
124,19.0
125,17.0
126,9.0
127,9.0
128,12.0
129,12.0
130,16.0
131,20.0
132,9.0
133,10.0
134,15.0
135,15.0
136,19.0
137,18.0
138,22.0
139,28.0
140,17.0
141,8.0
142,16.0
143,10.0
144,18.0
145,9.0
146,13.0
147,12.0
148,6.0
149,13.0
150,8.0
151,11.0
152,10.0
153,11.0
154,8.0
155,11.0
156,7.0
157,11.0
158,26.0
159,11.0
160,9.0
161,9.0
162,18.0
163,13.0
164,9.0
165,8.0
166,6.0
167,25.0
168,11.0
169,6.0
170,13.0
171,11.0
172,13.0
173,15.0
174,11.0
175,23.0
176,11.0
177,19.0
178,21.0
179,11.0
180,9.0
181,12.0
182,10.0
183,9.0
184,13.0
185,13.0
186,15.0
187,8.0
188,9.0
189,9.0
190,6.0
191,9.0
192,14.0
193,6.0
194,12.0
195,16.0
196,19.0
197,13.0
198,6.0
199,15.0
200,18.0
201,11.0
202,15.0
203,15.0
204,14.0
205,16.0
206,10.0
207,23.0
208,13.0
209,17.0
210,43.0
211,7.0
212,8.0
213,12.0
